name,degree
http://bio2rdf.org/drugbank:DB00526,116
http://bio2rdf.org/omim:613794,13
http://bio2rdf.org/omim:254300,11
http://bio2rdf.org/omim:201300,13
http://bio2rdf.org/drugbank:BE0003768,27
http://bio2rdf.org/drugbank:DB00396,58
http://bio2rdf.org/drugbank:DB03053,1
http://bio2rdf.org/drugbank:BE0000465,33
http://bio2rdf.org/drugbank:DB00958,75
http://bio2rdf.org/omim_resource:194cf9bb76d673d86b6d9c2296c72854,242
http://bio2rdf.org/drugbank:DB00540,122
http://bio2rdf.org/drugbank:BE0003775,12
http://bio2rdf.org/omim_resource:d9064b183f6d08c96309b33cd954e4b5,5
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0043094,93
http://bio2rdf.org/drugbank:DB09245,13
http://bio2rdf.org/drugbank:BE0000870,91
http://bio2rdf.org/drugbank:DB00569,4
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0085159,228
http://bio2rdf.org/omim:192315,1
http://bio2rdf.org/drugbank:DB00157,167
http://bio2rdf.org/drugbank:BE0000600,18
http://bio2rdf.org/drugbank:DB08908,1
http://bio2rdf.org/drugbank:DB00437,75
http://bio2rdf.org/drugbank:BE0000981,31
http://bio2rdf.org/drugbank:BE0004743,12
http://bio2rdf.org/drugbank:DB00721,24
http://bio2rdf.org/drugbank:DB00295,72
http://bio2rdf.org/drugbank:DB00370,78
http://bio2rdf.org/omim:613740,7
http://bio2rdf.org/omim_resource:2a8e3ba51108e666f5fcbc01aba5a42f,13
http://bio2rdf.org/drugbank:DB02771,1
http://bio2rdf.org/drugbank:BE0004922,23
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0016658,29
http://bio2rdf.org/drugbank:DB01356,103
http://bio2rdf.org/drugbank:BE0004914,59
http://bio2rdf.org/drugbank:DB00780,19
http://bio2rdf.org/drugbank:BE0000953,32
http://bio2rdf.org/drugbank:DB05075,4
http://bio2rdf.org/drugbank:DB00022,63
http://bio2rdf.org/drugbank:DB01594,16
http://bio2rdf.org/drugbank:DB01074,34
http://bio2rdf.org/omim_resource:44fe324e67d9b49875506d5603299579,26
http://bio2rdf.org/omim:252011,27
http://bio2rdf.org/drugbank:DB00715,159
http://bio2rdf.org/drugbank:DB01591,11
http://bio2rdf.org/omim:263800,12
http://bio2rdf.org/drugbank:DB00762,146
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0041671,56
http://bio2rdf.org/omim:606159,14
http://bio2rdf.org/omim:219700,42
http://bio2rdf.org/drugbank:DB00184,178
http://bio2rdf.org/drugbank:DB00555,92
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0022671,133
http://bio2rdf.org/drugbank:DB09220,4
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C1269683,228
http://bio2rdf.org/drugbank:DB00564,139
http://bio2rdf.org/drugbank:DB02010,12
http://bio2rdf.org/omim:612645,4
http://bio2rdf.org/omim_resource:48563af8c7c7e052e1d23d697a7dfae7,8
http://bio2rdf.org/omim:103780,92
http://bio2rdf.org/drugbank:DB02659,22
http://bio2rdf.org/drugbank:BE0004191,20
http://www4.wiwiss.fu-berlin.de/sider/resource/side_effects/C0024299,12
http://bio2rdf.org/omim:615551,4
http://bio2rdf.org/omim:613426,7
http://bio2rdf.org/omim_resource:5f4814c110c55fcbc7c2295f8335c574,242
http://bio2rdf.org/drugbank:BE0002406,75
http://bio2rdf.org/omim_resource:ae054e4ac955af9f9422612fa0c51899,110
http://bio2rdf.org/drugbank:DB00758,134
http://bio2rdf.org/drugbank:DB01039,57
http://bio2rdf.org/omim_resource:51263507bd4e52b8f2b2d2f97b7cb991,306
