name,type,cluster
http://bio2rdf.org/drugbank:DB01208,Drug,1
http://bio2rdf.org/drugbank:DB00380,Drug,1
http://bio2rdf.org/drugbank:DB01137,Drug,1
http://bio2rdf.org/drugbank:DB01204,Drug,1
http://bio2rdf.org/drugbank:DB00537,Drug,1
http://bio2rdf.org/drugbank:DB01987,Drug,1
http://bio2rdf.org/drugbank:DB00173,Drug,1
http://bio2rdf.org/drugbank:DB01702,Drug,1
http://bio2rdf.org/drugbank:DB00773,Drug,1
http://bio2rdf.org/drugbank:DB01030,Drug,1
http://bio2rdf.org/drugbank:DB00218,Drug,1
http://bio2rdf.org/drugbank:DB01059,Drug,1
http://bio2rdf.org/drugbank:DB01044,Drug,1
http://bio2rdf.org/drugbank:DB01645,Drug,1
http://bio2rdf.org/drugbank:DB00276,Drug,1
http://bio2rdf.org/drugbank:DB01241,Drug,2
http://bio2rdf.org/drugbank:DB00914,Drug,2
http://bio2rdf.org/drugbank:DB08915,Drug,2
http://bio2rdf.org/drugbank:DB04270,Drug,2
http://bio2rdf.org/drugbank:DB00412,Drug,2
http://bio2rdf.org/drugbank:DB04830,Drug,2
http://bio2rdf.org/drugbank:DB01132,Drug,2
http://bio2rdf.org/drugbank:DB00636,Drug,2
http://bio2rdf.org/drugbank:DB04689,Drug,2
http://bio2rdf.org/drugbank:DB00072,Drug,3
http://bio2rdf.org/drugbank:DB00111,Drug,3
http://bio2rdf.org/drugbank:DB00092,Drug,3
http://bio2rdf.org/drugbank:DB00002,Drug,3
http://bio2rdf.org/drugbank:DB00098,Drug,3
http://bio2rdf.org/drugbank:DB00054,Drug,3
http://bio2rdf.org/drugbank:DB00074,Drug,3
http://bio2rdf.org/drugbank:DB00073,Drug,3
http://bio2rdf.org/drugbank:DB00075,Drug,3
http://bio2rdf.org/drugbank:DB00087,Drug,3
http://bio2rdf.org/drugbank:DB00078,Drug,3
http://bio2rdf.org/drugbank:DB00056,Drug,3
http://bio2rdf.org/drugbank:DB00110,Drug,3
http://bio2rdf.org/drugbank:DB00108,Drug,3
http://bio2rdf.org/drugbank:DB00028,Drug,3
http://bio2rdf.org/drugbank:DB00095,Drug,3
http://bio2rdf.org/drugbank:DB00081,Drug,3
http://bio2rdf.org/drugbank:DB00099,Drug,3
http://bio2rdf.org/drugbank:DB00019,Drug,3
http://bio2rdf.org/drugbank:DB09052,Drug,3
http://bio2rdf.org/drugbank:DB02341,Drug,3
http://bio2rdf.org/drugbank:DB01731,Drug,3
http://bio2rdf.org/drugbank:DB03925,Drug,3
http://bio2rdf.org/drugbank:DB00058,Drug,3
http://bio2rdf.org/drugbank:DB00819,Drug,4
http://bio2rdf.org/drugbank:DB08846,Drug,4
http://bio2rdf.org/drugbank:DB00311,Drug,4
http://bio2rdf.org/drugbank:DB01144,Drug,4
http://bio2rdf.org/drugbank:DB01194,Drug,4
http://bio2rdf.org/drugbank:DB00287,Drug,4
http://bio2rdf.org/drugbank:DB00703,Drug,4
http://bio2rdf.org/drugbank:DB00869,Drug,4
http://bio2rdf.org/drugbank:DB00268,Drug,5
http://bio2rdf.org/drugbank:DB01233,Drug,5
http://bio2rdf.org/drugbank:DB00334,Drug,5
http://bio2rdf.org/drugbank:DB00246,Drug,5
http://bio2rdf.org/drugbank:DB06216,Drug,5
http://bio2rdf.org/drugbank:DB01267,Drug,5
http://bio2rdf.org/drugbank:DB01224,Drug,5
http://bio2rdf.org/drugbank:DB01238,Drug,5
http://bio2rdf.org/drugbank:DB01200,Drug,5
http://bio2rdf.org/drugbank:DB09128,Drug,5
http://bio2rdf.org/drugbank:DB01577,Drug,5
http://bio2rdf.org/drugbank:DB04946,Drug,5
http://bio2rdf.org/drugbank:DB00413,Drug,5
http://bio2rdf.org/drugbank:DB01403,Drug,5
http://bio2rdf.org/drugbank:DB00875,Drug,5
http://bio2rdf.org/drugbank:DB00952,Drug,5
http://bio2rdf.org/drugbank:DB00669,Drug,5
http://bio2rdf.org/drugbank:DB01576,Drug,5
http://bio2rdf.org/drugbank:DB08815,Drug,5
http://bio2rdf.org/drugbank:DB00745,Drug,5
http://bio2rdf.org/drugbank:DB00408,Drug,5
http://bio2rdf.org/drugbank:DB01186,Drug,5
http://bio2rdf.org/drugbank:DB01618,Drug,5
http://bio2rdf.org/drugbank:DB01622,Drug,5
http://bio2rdf.org/drugbank:DB00714,Drug,5
http://bio2rdf.org/drugbank:DB06288,Drug,5
http://bio2rdf.org/drugbank:DB00623,Drug,5
http://bio2rdf.org/drugbank:DB01608,Drug,5
http://bio2rdf.org/drugbank:DB09223,Drug,5
http://bio2rdf.org/drugbank:DB05271,Drug,5
http://bio2rdf.org/drugbank:DB00589,Drug,5
http://bio2rdf.org/drugbank:DB04884,Drug,5
http://bio2rdf.org/drugbank:DB00696,Drug,5
http://bio2rdf.org/drugbank:DB06594,Drug,5
http://bio2rdf.org/drugbank:DB08810,Drug,5
http://bio2rdf.org/drugbank:DB00320,Drug,5
http://bio2rdf.org/drugbank:DB00450,Drug,5
http://bio2rdf.org/drugbank:DB06144,Drug,5
http://bio2rdf.org/drugbank:DB00248,Drug,5
http://bio2rdf.org/drugbank:DB00409,Drug,5
http://bio2rdf.org/drugbank:DB01614,Drug,5
http://bio2rdf.org/drugbank:DB01049,Drug,5
http://bio2rdf.org/drugbank:DB00315,Drug,5
http://bio2rdf.org/drugbank:DB01184,Drug,5
http://bio2rdf.org/drugbank:DB00831,Drug,5
http://bio2rdf.org/drugbank:DB06684,Drug,5
http://bio2rdf.org/drugbank:DB00391,Drug,5
http://bio2rdf.org/drugbank:DB00490,Drug,5
http://bio2rdf.org/drugbank:DB00216,Drug,5
http://bio2rdf.org/drugbank:DB09225,Drug,5
http://bio2rdf.org/drugbank:DB01255,Drug,5
http://bio2rdf.org/drugbank:DB00508,Drug,5
http://bio2rdf.org/drugbank:DB00953,Drug,5
http://bio2rdf.org/drugbank:DB00918,Drug,5
http://bio2rdf.org/drugbank:DB09286,Drug,5
http://bio2rdf.org/drugbank:DB04842,Drug,5
http://bio2rdf.org/drugbank:DB01038,Drug,5
http://bio2rdf.org/drugbank:DB00950,Drug,6
http://bio2rdf.org/drugbank:DB00557,Drug,6
http://bio2rdf.org/drugbank:DB06196,Drug,6
http://bio2rdf.org/drugbank:DB01106,Drug,6
http://bio2rdf.org/drugbank:DB00768,Drug,6
http://bio2rdf.org/drugbank:DB00104,Drug,6
